model,architecture,scheme,size_gb,tps,ttft_ms,perplexity
Llama-3.2-1B-Instruct,Decoder-Only,W8A8,1.41,16397.7,51.9,17.45
Llama-3.2-1B-Instruct,Decoder-Only,W4A16,0.97,16146.9,46.2,51.61
Llama-3.2-1B-Instruct,Decoder-Only,FP8,1.41,15121.4,38.3,17.54
Llama-3.2-1B-Instruct,Decoder-Only,NVFP4,1.02,14396.9,45.7,18.66
